Genome ID,Genome Name,Antibiotic,Resistant Phenotype,AMR_Label
573.18093,Klebsiella pneumoniae strain AR_0153,meropenem,Resistant,1
573.24308,Klebsiella pneumoniae strain 463,meropenem,Resistant,1
573.13769,Klebsiella pneumoniae KPN1914ec,meropenem,Resistant,1
573.13358,Klebsiella pneumoniae KPN1415ec,meropenem,Resistant,1
573.67318,Klebsiella pneumoniae ERR7221324,meropenem,Resistant,1
573.14342,Klebsiella pneumoniae KPN716ec,meropenem,Resistant,1
573.29912,Klebsiella pneumoniae strain Kpngiani7132603,meropenem,Resistant,1
573.29945,Klebsiella pneumoniae strain Kpngiani7132637,meropenem,Resistant,1
573.24324,Klebsiella pneumoniae strain MRSN20094,meropenem,Resistant,1
573.67197,Klebsiella pneumoniae ERR7221169,meropenem,Resistant,1
573.1446,Klebsiella pneumoniae KPN878ec,meropenem,Resistant,1
573.66146,Klebsiella pneumoniae ERR1981103,meropenem,Resistant,1
573.66125,Klebsiella pneumoniae ERR1829916,meropenem,Resistant,1
573.66111,Klebsiella pneumoniae ERR1813607,meropenem,Resistant,1
573.1339,Klebsiella pneumoniae KPN1449ec,meropenem,Resistant,1
573.24438,Klebsiella pneumoniae strain MUGSI_79,meropenem,Resistant,1
573.1344,Klebsiella pneumoniae KPN1505ec,meropenem,Resistant,1
573.1431,Klebsiella pneumoniae KPN679ec,meropenem,Resistant,1
573.14228,Klebsiella pneumoniae KPN547ec,meropenem,Resistant,1
573.14239,Klebsiella pneumoniae KPN563ec,meropenem,Resistant,1
573.5623,Klebsiella pneumoniae strain 18_GR_14,meropenem,Resistant,1
573.13725,Klebsiella pneumoniae KPN1862ec,meropenem,Resistant,1
573.46846,Klebsiella pneumoniae KP-1PI,meropenem,Resistant,1
573.13252,Klebsiella pneumoniae KPN1273ec,meropenem,Resistant,1
573.1394,Klebsiella pneumoniae KPN2129ec,meropenem,Resistant,1
573.24264,Klebsiella pneumoniae strain 212,meropenem,Resistant,1
573.13441,Klebsiella pneumoniae KPN1507ec,meropenem,Resistant,1
573.13849,Klebsiella pneumoniae KPN201ec,meropenem,Resistant,1
573.15375,Klebsiella pneumoniae strain INF164,meropenem,Resistant,1
573.13361,Klebsiella pneumoniae KPN141ec,meropenem,Resistant,1
1438735.3,Klebsiella pneumoniae CHS 29,meropenem,Resistant,1
573.13384,Klebsiella pneumoniae KPN1443ec,meropenem,Resistant,1
573.14477,Klebsiella pneumoniae KPN900ec,meropenem,Resistant,1
573.2445,Klebsiella pneumoniae strain MUGSI_92,meropenem,Resistant,1
573.20062,Klebsiella pneumoniae strain AR_0075,meropenem,Resistant,1
573.13236,Klebsiella pneumoniae KPN1257ec,meropenem,Resistant,1
573.67239,Klebsiella pneumoniae ERR7221220,meropenem,Resistant,1
573.13619,Klebsiella pneumoniae KPN1716ec,meropenem,Resistant,1
573.24367,Klebsiella pneumoniae strain MUGSI_166,meropenem,Resistant,1
573.2989,Klebsiella pneumoniae strain Kpngiani7132581,meropenem,Resistant,1
573.13978,Klebsiella pneumoniae KPN233ec,meropenem,Resistant,1
573.29904,Klebsiella pneumoniae strain Kpngiani7132612,meropenem,Resistant,1
573.13657,Klebsiella pneumoniae KPN1761ec,meropenem,Resistant,1
573.24374,Klebsiella pneumoniae strain MUGSI_191,meropenem,Resistant,1
573.1347,Klebsiella pneumoniae KPN1540ec,meropenem,Resistant,1
573.13132,Klebsiella pneumoniae KPN1131ec,meropenem,Resistant,1
573.13238,Klebsiella pneumoniae KPN125ec,meropenem,Resistant,1
573.24305,Klebsiella pneumoniae strain 457,meropenem,Resistant,1
573.24314,Klebsiella pneumoniae strain 66,meropenem,Resistant,1
573.67315,Klebsiella pneumoniae ERR7221323,meropenem,Resistant,1
573.1379,Klebsiella pneumoniae KPN1940ec,meropenem,Resistant,1
573.12781,Klebsiella pneumoniae strain AR_0152,meropenem,Resistant,1
573.14542,Klebsiella pneumoniae KPN984ec,meropenem,Resistant,1
573.13887,Klebsiella pneumoniae KPN2063ec,meropenem,Resistant,1
573.67298,Klebsiella pneumoniae ERR7221300,meropenem,Resistant,1
573.13808,Klebsiella pneumoniae KPN196ec,meropenem,Resistant,1
573.1452,Klebsiella pneumoniae KPN953ec,meropenem,Resistant,1
573.13587,Klebsiella pneumoniae KPN1684ec,meropenem,Resistant,1
573.1422,Klebsiella pneumoniae KPN536ec,meropenem,Resistant,1
573.13356,Klebsiella pneumoniae KPN1413ec,meropenem,Resistant,1
573.46875,Klebsiella pneumoniae KP-91LU,meropenem,Resistant,1
573.13573,Klebsiella pneumoniae KPN1667ec,meropenem,Resistant,1
573.12905,Klebsiella pneumoniae 3263,meropenem,Resistant,1
573.14528,Klebsiella pneumoniae KPN963ec,meropenem,Resistant,1
573.14056,Klebsiella pneumoniae KPN322ec,meropenem,Resistant,1
573.14254,Klebsiella pneumoniae KPN580ec,meropenem,Resistant,1
72407.486,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864851,meropenem,Resistant,1
573.29977,Klebsiella pneumoniae strain Kpngiani7132518,meropenem,Resistant,1
573.67271,Klebsiella pneumoniae ERR7221266,meropenem,Resistant,1
573.24416,Klebsiella pneumoniae strain MUGSI_5,meropenem,Resistant,1
72407.591,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864820,meropenem,Resistant,1
573.29927,Klebsiella pneumoniae strain Kpngiani7132617,meropenem,Resistant,1
573.24406,Klebsiella pneumoniae strain MUGSI_37,meropenem,Resistant,1
573.29893,Klebsiella pneumoniae strain Kpngiani7132586,meropenem,Resistant,1
573.1368,Klebsiella pneumoniae KPN1788ec,meropenem,Resistant,1
573.29896,Klebsiella pneumoniae strain Kpngiani7132600,meropenem,Resistant,1
573.29886,Klebsiella pneumoniae strain Kpngiani7132579,meropenem,Resistant,1
1438749.3,Klebsiella pneumoniae CHS 43,meropenem,Resistant,1
573.13303,Klebsiella pneumoniae KPN1342ec,meropenem,Resistant,1
573.29968,Klebsiella pneumoniae strain Kpngiani7132509,meropenem,Resistant,1
573.15618,Klebsiella pneumoniae strain KSB2_5A,meropenem,Resistant,1
573.14501,Klebsiella pneumoniae KPN929ec,meropenem,Resistant,1
573.13666,Klebsiella pneumoniae KPN1771ec,meropenem,Resistant,1
573.14547,Klebsiella pneumoniae KPN994ec,meropenem,Resistant,1
573.13438,Klebsiella pneumoniae KPN1501ec,meropenem,Resistant,1
573.24354,Klebsiella pneumoniae strain MUGSI_142,meropenem,Resistant,1
573.1316,Klebsiella pneumoniae KPN1165ec,meropenem,Resistant,1
1328404.3,Klebsiella pneumoniae BIDMC 10,meropenem,Resistant,1
573.14281,Klebsiella pneumoniae KPN614ec,meropenem,Resistant,1
573.13578,Klebsiella pneumoniae KPN1674ec,meropenem,Resistant,1
573.14052,Klebsiella pneumoniae KPN318ec,meropenem,Resistant,1
573.29861,Klebsiella pneumoniae strain Kpngiani7132558,meropenem,Resistant,1
573.1809,Klebsiella pneumoniae strain AR_0141,meropenem,Resistant,1
573.67242,Klebsiella pneumoniae ERR7221236,meropenem,Resistant,1
573.13212,Klebsiella pneumoniae KPN1222ec,meropenem,Resistant,1
573.24397,Klebsiella pneumoniae strain MUGSI_314,meropenem,Resistant,1
1438766.3,Klebsiella pneumoniae CHS 60,meropenem,Resistant,1
573.14306,Klebsiella pneumoniae KPN675ec,meropenem,Resistant,1
573.17908,Klebsiella pneumoniae strain AR_0066,meropenem,Resistant,1
1438747.3,Klebsiella pneumoniae CHS 41,meropenem,Resistant,1
1438758.3,Klebsiella pneumoniae CHS 52,meropenem,Resistant,1
573.1428,Klebsiella pneumoniae KPN613ec,meropenem,Resistant,1
573.66164,Klebsiella pneumoniae ERR2118034,meropenem,Resistant,1
573.46864,Klebsiella pneumoniae KP-42LI,meropenem,Resistant,1
573.13975,Klebsiella pneumoniae KPN230ec,meropenem,Resistant,1
573.67301,Klebsiella pneumoniae ERR7221304,meropenem,Resistant,1
573.29875,Klebsiella pneumoniae strain Kpngiani7132570,meropenem,Resistant,1
573.29925,Klebsiella pneumoniae strain Kpngiani7132632,meropenem,Resistant,1
573.1278,Klebsiella pneumoniae strain AR_0145,meropenem,Resistant,1
573.14407,Klebsiella pneumoniae KPN800ec,meropenem,Resistant,1
573.14506,Klebsiella pneumoniae KPN935ec,meropenem,Resistant,1
1438730.3,Klebsiella pneumoniae CHS 24,meropenem,Resistant,1
573.24372,Klebsiella pneumoniae strain MUGSI_187,meropenem,Resistant,1
573.12779,Klebsiella pneumoniae strain AR_0139,meropenem,Resistant,1
573.13548,Klebsiella pneumoniae KPN1635ec,meropenem,Resistant,1
573.46835,Klebsiella pneumoniae KP-134LU,meropenem,Resistant,1
573.67217,Klebsiella pneumoniae ERR7221196,meropenem,Resistant,1
573.29888,Klebsiella pneumoniae strain Kpngiani7132585,meropenem,Resistant,1
573.7027,Klebsiella pneumoniae strain AR_0003,meropenem,Resistant,1
573.13222,Klebsiella pneumoniae KPN1241ec,meropenem,Resistant,1
573.67225,Klebsiella pneumoniae ERR7221211,meropenem,Resistant,1
573.67314,Klebsiella pneumoniae ERR7221316,meropenem,Resistant,1
573.13693,Klebsiella pneumoniae KPN1828ec,meropenem,Resistant,1
573.67221,Klebsiella pneumoniae ERR7221201,meropenem,Resistant,1
573.46856,Klebsiella pneumoniae KP-26PI,meropenem,Resistant,1
573.14497,Klebsiella pneumoniae KPN925ec,meropenem,Resistant,1
1438779.3,Klebsiella pneumoniae CHS 75,meropenem,Resistant,1
573.13068,Klebsiella pneumoniae KPN1046ec,meropenem,Resistant,1
573.24366,Klebsiella pneumoniae strain MUGSI_165,meropenem,Resistant,1
573.13434,Klebsiella pneumoniae KPN1497ec,meropenem,Resistant,1
573.24426,Klebsiella pneumoniae strain MUGSI_64,meropenem,Resistant,1
573.66143,Klebsiella pneumoniae ERR1840998,meropenem,Resistant,1
573.14255,Klebsiella pneumoniae KPN581ec,meropenem,Resistant,1
573.13704,Klebsiella pneumoniae KPN1841ec,meropenem,Resistant,1
573.5645,Klebsiella pneumoniae strain 3_GR_13,meropenem,Resistant,1
573.13432,Klebsiella pneumoniae KPN1495ec,meropenem,Resistant,1
573.1393,Klebsiella pneumoniae KPN2113ec,meropenem,Resistant,1
573.13512,Klebsiella pneumoniae KPN1587ec,meropenem,Resistant,1
573.29928,Klebsiella pneumoniae strain Kpngiani7132628,meropenem,Resistant,1
573.1324,Klebsiella pneumoniae KPN1261ec,meropenem,Resistant,1
1438738.3,Klebsiella pneumoniae CHS 32,meropenem,Resistant,1
573.29978,Klebsiella pneumoniae strain Kpngiani7132510,meropenem,Resistant,1
573.15369,Klebsiella pneumoniae strain INF158,meropenem,Resistant,1
573.30005,Klebsiella pneumoniae strain Kpngiani7132547,meropenem,Resistant,1
573.1424,Klebsiella pneumoniae KPN564ec,meropenem,Resistant,1
573.14128,Klebsiella pneumoniae KPN407ec,meropenem,Resistant,1
573.29895,Klebsiella pneumoniae strain Kpngiani7132574,meropenem,Resistant,1
573.29914,Klebsiella pneumoniae strain Kpngiani7132601,meropenem,Resistant,1
573.33416,Klebsiella pneumoniae strain PMK5a,meropenem,Resistant,1
573.1396,Klebsiella pneumoniae KPN2171ec,meropenem,Resistant,1
573.29941,Klebsiella pneumoniae strain Kpngiani7132493,meropenem,Resistant,1
573.46859,Klebsiella pneumoniae KP-28P,meropenem,Resistant,1
573.13686,Klebsiella pneumoniae KPN1818ec,meropenem,Resistant,1
573.1537,Klebsiella pneumoniae strain INF157,meropenem,Resistant,1
573.14418,Klebsiella pneumoniae KPN818ec,meropenem,Resistant,1
573.1443,Klebsiella pneumoniae KPN835ec,meropenem,Resistant,1
573.14377,Klebsiella pneumoniae KPN759ec,meropenem,Resistant,1
573.46875,Klebsiella pneumoniae KP-91LU,meropenem,Resistant,1
573.24329,Klebsiella pneumoniae strain MUGSI_111,meropenem,Resistant,1
573.14472,Klebsiella pneumoniae KPN893ec,meropenem,Resistant,1
573.46864,Klebsiella pneumoniae KP-42LI,meropenem,Resistant,1
573.4685,Klebsiella pneumoniae KP-22PI,meropenem,Resistant,1
573.14243,Klebsiella pneumoniae KPN568ec,meropenem,Resistant,1
573.29947,Klebsiella pneumoniae strain Kpngiani7132496,meropenem,Resistant,1
573.2441,Klebsiella pneumoniae strain MUGSI_41,meropenem,Resistant,1
573.14512,Klebsiella pneumoniae KPN944ec,meropenem,Resistant,1
573.13689,Klebsiella pneumoniae KPN1821ec,meropenem,Resistant,1
573.67276,Klebsiella pneumoniae ERR7221273,meropenem,Resistant,1
573.24322,Klebsiella pneumoniae strain MRSN14213,meropenem,Resistant,1
1438777.3,Klebsiella pneumoniae CHS 73,meropenem,Resistant,1
573.24443,Klebsiella pneumoniae strain MUGSI_84,meropenem,Resistant,1
573.13965,Klebsiella pneumoniae KPN218ec,meropenem,Resistant,1
573.14406,Klebsiella pneumoniae KPN799ec,meropenem,Resistant,1
573.15042,Klebsiella pneumoniae strain AR_0158,meropenem,Resistant,1
573.13387,Klebsiella pneumoniae KPN1446ec,meropenem,Resistant,1
573.46851,Klebsiella pneumoniae KP-23PA,meropenem,Resistant,1
573.5767,Klebsiella pneumoniae strain 7_GR_13,meropenem,Resistant,1
573.66148,Klebsiella pneumoniae ERR2106615,meropenem,Resistant,1
573.13127,Klebsiella pneumoniae KPN1125ec,meropenem,Resistant,1
573.1353,Klebsiella pneumoniae KPN160ec,meropenem,Resistant,1
573.13483,Klebsiella pneumoniae KPN1555ec,meropenem,Resistant,1
573.24267,Klebsiella pneumoniae strain 24,meropenem,Resistant,1
573.14153,Klebsiella pneumoniae KPN435ec,meropenem,Resistant,1
573.6725,Klebsiella pneumoniae ERR7221224,meropenem,Resistant,1
573.66124,Klebsiella pneumoniae ERR1829914,meropenem,Resistant,1
573.24326,Klebsiella pneumoniae strain MUGSI_102,meropenem,Resistant,1
573.13201,Klebsiella pneumoniae KPN1210ec,meropenem,Resistant,1
1438728.3,Klebsiella pneumoniae CHS 22,meropenem,Resistant,1
1438745.3,Klebsiella pneumoniae CHS 39,meropenem,Resistant,1
573.24453,Klebsiella pneumoniae strain MUGSI_96,meropenem,Resistant,1
573.13566,Klebsiella pneumoniae KPN1659ec,meropenem,Resistant,1
573.13195,Klebsiella pneumoniae KPN1204ec,meropenem,Resistant,1
573.30013,Klebsiella pneumoniae strain Kpngiani7132548,meropenem,Resistant,1
573.14516,Klebsiella pneumoniae KPN948ec,meropenem,Resistant,1
573.14475,Klebsiella pneumoniae KPN896ec,meropenem,Resistant,1
573.46831,Klebsiella pneumoniae KP-106LU,meropenem,Resistant,1
573.24315,Klebsiella pneumoniae strain 8,meropenem,Resistant,1
573.46831,Klebsiella pneumoniae KP-106LU,meropenem,Resistant,1
573.24392,Klebsiella pneumoniae strain MUGSI_308,meropenem,Resistant,1
573.13623,Klebsiella pneumoniae KPN1720ec,meropenem,Resistant,1
573.14186,Klebsiella pneumoniae KPN479ec,meropenem,Resistant,1
573.29929,Klebsiella pneumoniae strain Kpngiani7132618,meropenem,Resistant,1
1328409.3,Klebsiella pneumoniae BIDMC 13,meropenem,Resistant,1
573.67229,Klebsiella pneumoniae ERR7221213,meropenem,Resistant,1
573.29981,Klebsiella pneumoniae strain Kpngiani7132514,meropenem,Resistant,1
573.24439,Klebsiella pneumoniae strain MUGSI_8,meropenem,Resistant,1
573.13213,Klebsiella pneumoniae KPN1224ec,meropenem,Resistant,1
573.15626,Klebsiella pneumoniae strain KSB1_1H,meropenem,Resistant,1
573.13235,Klebsiella pneumoniae KPN1256ec,meropenem,Resistant,1
573.67313,Klebsiella pneumoniae ERR7221320,meropenem,Resistant,1
573.20061,Klebsiella pneumoniae strain AR_0160,meropenem,Resistant,1
573.13063,Klebsiella pneumoniae KPN1041ec,meropenem,Resistant,1
573.9723,Klebsiella pneumoniae strain AR_0115,meropenem,Resistant,1
573.24363,Klebsiella pneumoniae strain MUGSI_16,meropenem,Resistant,1
573.5778,Klebsiella pneumoniae strain 20_GR_12,meropenem,Resistant,1
573.29965,Klebsiella pneumoniae strain Kpngiani7132523,meropenem,Resistant,1
573.26278,Klebsiella pneumoniae strain 5012STDY7626397,meropenem,Resistant,1
573.14246,Klebsiella pneumoniae KPN572ec,meropenem,Resistant,1
573.13796,Klebsiella pneumoniae KPN1949ec,meropenem,Resistant,1
573.46853,Klebsiella pneumoniae KP-24PI,meropenem,Resistant,1
573.13289,Klebsiella pneumoniae KPN1329ec,meropenem,Resistant,1
573.13626,Klebsiella pneumoniae KPN1723ec,meropenem,Resistant,1
573.24252,Klebsiella pneumoniae strain 16,meropenem,Resistant,1
573.13947,Klebsiella pneumoniae KPN2155ec,meropenem,Resistant,1
573.24321,Klebsiella pneumoniae strain MRSN14170,meropenem,Resistant,1
573.13113,Klebsiella pneumoniae KPN1109ec,meropenem,Resistant,1
573.46855,Klebsiella pneumoniae KP-25PI,meropenem,Resistant,1
573.24417,Klebsiella pneumoniae strain MUGSI_50,meropenem,Resistant,1
573.1542,Klebsiella pneumoniae strain AR_0112,meropenem,Resistant,1
573.14009,Klebsiella pneumoniae KPN271ec,meropenem,Resistant,1
573.1453,Klebsiella pneumoniae KPN966ec,meropenem,Resistant,1
573.29906,Klebsiella pneumoniae strain Kpngiani7132609,meropenem,Resistant,1
573.14022,Klebsiella pneumoniae KPN285ec,meropenem,Resistant,1
573.13592,Klebsiella pneumoniae KPN1689ec,meropenem,Resistant,1
573.14252,Klebsiella pneumoniae KPN578ec,meropenem,Resistant,1
573.13535,Klebsiella pneumoniae KPN1616ec,meropenem,Resistant,1
72407.541,Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864770,meropenem,Resistant,1
573.29911,Klebsiella pneumoniae strain Kpngiani7132595,meropenem,Resistant,1
573.24433,Klebsiella pneumoniae strain MUGSI_74,meropenem,Resistant,1
573.13136,Klebsiella pneumoniae KPN1135ec,meropenem,Resistant,1
573.1406,Klebsiella pneumoniae KPN327ec,meropenem,Resistant,1
573.67185,Klebsiella pneumoniae ERR7221161,meropenem,Resistant,1
573.13879,Klebsiella pneumoniae KPN2054ec,meropenem,Resistant,1
573.14168,Klebsiella pneumoniae KPN455ec,meropenem,Resistant,1
1438751.3,Klebsiella pneumoniae CHS 45,meropenem,Resistant,1
573.14183,Klebsiella pneumoniae KPN473ec,meropenem,Resistant,1
1438764.3,Klebsiella pneumoniae CHS 58,meropenem,Resistant,1
573.14118,Klebsiella pneumoniae KPN396ec,meropenem,Resistant,1
573.13634,Klebsiella pneumoniae KPN1734ec,meropenem,Resistant,1
573.14292,Klebsiella pneumoniae KPN629ec,meropenem,Resistant,1
573.15217,Klebsiella pneumoniae strain AR_0112,meropenem,Resistant,1
573.24358,Klebsiella pneumoniae strain MUGSI_15,meropenem,Resistant,1
1438771.3,Klebsiella pneumoniae CHS 65,meropenem,Resistant,1
573.24359,Klebsiella pneumoniae strain MUGSI_153,meropenem,Resistant,1
573.67305,Klebsiella pneumoniae ERR7221311,meropenem,Resistant,1
573.29988,Klebsiella pneumoniae strain Kpngiani7132512,meropenem,Resistant,1
573.24423,Klebsiella pneumoniae strain MUGSI_59,meropenem,Resistant,1
573.14061,Klebsiella pneumoniae KPN329ec,meropenem,Resistant,1
573.24415,Klebsiella pneumoniae strain MUGSI_49,meropenem,Resistant,1
573.67241,Klebsiella pneumoniae ERR7221234,meropenem,Resistant,1
573.46861,Klebsiella pneumoniae KP-37LI,meropenem,Resistant,1
573.1553,Klebsiella pneumoniae strain INF305,meropenem,Resistant,1
1438767.3,Klebsiella pneumoniae CHS 61,meropenem,Resistant,1
573.46861,Klebsiella pneumoniae KP-37LI,meropenem,Resistant,1
573.29997,Klebsiella pneumoniae strain Kpngiani7132541,meropenem,Resistant,1
573.24368,Klebsiella pneumoniae strain MUGSI_173,meropenem,Resistant,1
573.7026,Klebsiella pneumoniae strain AR_0039,meropenem,Resistant,1
573.13208,Klebsiella pneumoniae KPN1218ec,meropenem,Resistant,1
573.14284,Klebsiella pneumoniae KPN617ec,meropenem,Resistant,1
573.136,Klebsiella pneumoniae KPN1697ec,meropenem,Resistant,1
573.46876,Klebsiella pneumoniae KP-93LU,meropenem,Resistant,1
573.24451,Klebsiella pneumoniae strain MUGSI_94,meropenem,Resistant,1
573.46874,Klebsiella pneumoniae KP-8POA,meropenem,Resistant,1
573.7362,Klebsiella pneumoniae strain AR_0049,meropenem,Resistant,1
573.29987,Klebsiella pneumoniae strain Kpngiani7132521,meropenem,Resistant,1
573.13751,Klebsiella pneumoniae KPN188ec,meropenem,Resistant,1
573.14513,Klebsiella pneumoniae KPN945ec,meropenem,Resistant,1
573.67289,Klebsiella pneumoniae ERR7221289,meropenem,Resistant,1
573.46841,Klebsiella pneumoniae KP-15PI,meropenem,Resistant,1
573.13398,Klebsiella pneumoniae KPN1458ec,meropenem,Resistant,1
573.33392,Klebsiella pneumoniae strain PMK1,meropenem,Resistant,1
573.14311,Klebsiella pneumoniae KPN680ec,meropenem,Resistant,1
573.14354,Klebsiella pneumoniae KPN728ec,meropenem,Resistant,1
573.29967,Klebsiella pneumoniae strain Kpngiani7132526,meropenem,Resistant,1
573.24243,Klebsiella pneumoniae strain 10,meropenem,Resistant,1
573.46866,Klebsiella pneumoniae KP-50LI,meropenem,Resistant,1
573.18087,Klebsiella pneumoniae strain AR438,meropenem,Resistant,1
573.13938,Klebsiella pneumoniae KPN2127ec,meropenem,Resistant,1
573.29954,Klebsiella pneumoniae strain Kpngiani7132491,meropenem,Resistant,1
573.46839,Klebsiella pneumoniae KP-14442FI,meropenem,Resistant,1
573.14263,Klebsiella pneumoniae KPN591ec,meropenem,Resistant,1
1328413.3,Klebsiella pneumoniae BIDMC 18B,meropenem,Resistant,1
573.29983,Klebsiella pneumoniae strain Kpngiani7132527,meropenem,Resistant,1
573.67306,Klebsiella pneumoniae ERR7221318,meropenem,Resistant,1
573.14452,Klebsiella pneumoniae KPN867ec,meropenem,Resistant,1
573.24269,Klebsiella pneumoniae strain 25,meropenem,Resistant,1
573.17914,Klebsiella pneumoniae strain AR_0363,meropenem,Resistant,1
573.6613,Klebsiella pneumoniae ERR1830483,meropenem,Resistant,1
573.46854,Klebsiella pneumoniae KP-25PA,meropenem,Resistant,1
1438737.3,Klebsiella pneumoniae CHS 31,meropenem,Resistant,1
573.67294,Klebsiella pneumoniae ERR7221297,meropenem,Resistant,1
573.14294,Klebsiella pneumoniae KPN632ec,meropenem,Resistant,1
1438748.3,Klebsiella pneumoniae CHS 42,meropenem,Resistant,1
573.1399,Klebsiella pneumoniae KPN249ec,meropenem,Resistant,1
1438757.3,Klebsiella pneumoniae CHS 51,meropenem,Resistant,1
573.14317,Klebsiella pneumoniae KPN686ec,meropenem,Resistant,1
573.24338,Klebsiella pneumoniae strain MUGSI_120,meropenem,Resistant,1
573.13812,Klebsiella pneumoniae KPN1976ec,meropenem,Resistant,1
573.14269,Klebsiella pneumoniae KPN598ec,meropenem,Resistant,1
1438739.3,Klebsiella pneumoniae CHS 33,meropenem,Resistant,1
573.13793,Klebsiella pneumoniae KPN1946ec,meropenem,Resistant,1
573.14276,Klebsiella pneumoniae KPN609ec,meropenem,Resistant,1
